iri,act,paragrahv,subsection,legalText,in_force,temporalStatus,valid_from,valid_to
estleg:ABIPOL_Par_12_Lg_3,estleg:ABIPOL_Map_2026,§ 12.,3,(3) Abipolitseinikul peatatakse abipolitseiniku ülesande täitmise ajal elektrišokirelva või tulirelva kandmise õigus kuni peatamise aluseks olnud asjaolu äralangemiseni või kuni vastavat liiki relva õiguspärase kasutamise või käitlemise tuvastamiseni.,true,,,
estleg:ABIPOL_Par_12_Lg_4,estleg:ABIPOL_Map_2026,§ 12.,4,"(4) Abipolitseiniku õigus kanda abipolitseiniku ülesande täitmise ajal elektrišokirelva või tulirelva tunnistatakse kehtetuks Politsei- ja Piirivalveameti peadirektori või tema volitatud ametniku otsusega juhul, kui: abipolitseinikul tuvastatakse tervisekontrolli käigus füüsiline puue, mis välistab vastavat liiki relva kandmise õiguse, või on tuvastatud abipolitseiniku põhjendamatu elektrišokirelva või tulirelva kasutamine või käitlemise nõuete oluline rikkumine.",true,,,
estleg:ABIPOL_Par_13,estleg:ABIPOL_Map_2026,§ 13.,,"(1) Abipolitseinik kaasatakse politsei tegevusse selle prefektuuri tööpiirkonnas, kus ta on abipolitseinikuks nimetatud. Abipolitseiniku nõusolekul võidakse teda kaasata politsei tegevusse ka muus piirkonnas. (2) Politsei- ja Piirivalveameti peadirektor või tema volitatud ametnik võib käskkirjaga moodustada abipolitseinike tegevuse korraldamiseks abipolitseinike üksuse ja kehtestada selle töökorralduse.",true,,,
estleg:ABIPOL_Par_13_Lg_1,estleg:ABIPOL_Map_2026,§ 13.,1,"(1) Abipolitseinik kaasatakse politsei tegevusse selle prefektuuri tööpiirkonnas, kus ta on abipolitseinikuks nimetatud. Abipolitseiniku nõusolekul võidakse teda kaasata politsei tegevusse ka muus piirkonnas.",true,,,
estleg:ABIPOL_Par_13_Lg_2,estleg:ABIPOL_Map_2026,§ 13.,2,(2) Politsei- ja Piirivalveameti peadirektor või tema volitatud ametnik võib käskkirjaga moodustada abipolitseinike tegevuse korraldamiseks abipolitseinike üksuse ja kehtestada selle töökorralduse.,true,,,
estleg:ABIPOL_Par_14,estleg:ABIPOL_Map_2026,§ 14.,,"(1) Abipolitseinik võib käesoleva seaduse § 3 lõikes 2 sätestatud ülesande täitmisele asuda üksnes politseiasutuse juhi või tema poolt määratud politseiametniku antud kirjaliku ülesande alusel. (2) Vahetu kõrgendatud ohu tõrjumiseks vajaliku ülesande võib anda suuliselt käesoleva paragrahvi lõikes 1 nimetatud isik või politsei juhtimiskeskus. (3) Politsei annab abipolitseinikule ülesande täitmiseks vajalikku teavet, teavitab abipolitseinikku ülesande täitmise korrast, sidepidamise viisidest ning hoiatab võimalike ohtude eest.",true,,,
estleg:ABIPOL_Par_14_Lg_1,estleg:ABIPOL_Map_2026,§ 14.,1,(1) Abipolitseinik võib käesoleva seaduse § 3 lõikes 2 sätestatud ülesande täitmisele asuda üksnes politseiasutuse juhi või tema poolt määratud politseiametniku antud kirjaliku ülesande alusel.,true,,,
estleg:ABIPOL_Par_14_Lg_2,estleg:ABIPOL_Map_2026,§ 14.,2,(2) Vahetu kõrgendatud ohu tõrjumiseks vajaliku ülesande võib anda suuliselt käesoleva paragrahvi lõikes 1 nimetatud isik või politsei juhtimiskeskus.,true,,,
estleg:ABIPOL_Par_14_Lg_3,estleg:ABIPOL_Map_2026,§ 14.,3,"(3) Politsei annab abipolitseinikule ülesande täitmiseks vajalikku teavet, teavitab abipolitseinikku ülesande täitmise korrast, sidepidamise viisidest ning hoiatab võimalike ohtude eest.",true,,,
estleg:ABIPOL_Par_15,estleg:ABIPOL_Map_2026,§ 15.,,Politsei- ja Piirivalveameti peadirektor esitab kaks korda kalendriaastas valdkonna eest vastutavale ministrile ülevaate abipolitseinike tegevusest.,true,,,
estleg:ABIPOL_Par_15_Lg_Unknown_1,estleg:ABIPOL_Map_2026,§ 15.,,Politsei- ja Piirivalveameti peadirektor esitab kaks korda kalendriaastas valdkonna eest vastutavale ministrile ülevaate abipolitseinike tegevusest.,true,,,
estleg:ABIPOL_Par_16,estleg:ABIPOL_Map_2026,§ 16.,,"(1) Abipolitseinik võib rakendada korrakaitseseaduse §-des 28 ja 30, § 32 lõigetes 1–4, §-des 34, 38, 41, 42 ja 44, § 45 lõigetes 1 ja 5 ning §-des 46–52 sätestatud meetmeid, kui ta on kaasatud meedet kohaldama politseiametniku korraldusel. (2) Abipolitseinik võib rakendada korrakaitseseaduse §-des 28 ja 30, § 32 lõigetes 1–4, §-des 38 ja 44, § 45 lõikes 1 ning §-des 46–49 ja 52 sätestatud meetmeid, kui ta teeb politsei ülesandel iseseisvalt järelevalvet avalikus kohas käitumise nõuete üle või täidab ülesannet avalikku korda ähvardava vahetu kõrgendatud ohu tõrjumiseks. (3) Kui abipolitseinik osaleb käesoleva seaduse § 3 lõike 3 alusel politsei tegevuses, ei ole tal õigust rakendada meetmeid ega kohaldada vahetut sundi.",true,,,
estleg:ABIPOL_Par_16_1,estleg:ABIPOL_Map_2026,§ 16¹.,,"(1) Abipolitseinik võib korrakaitseseaduse §-s 38 sätestatud meedet kohaldades kontrollida üksnes indikaatorvahendiga alkoholi sisaldumist isiku väljahingatavas õhus. Abipolitseinik peab andma isiku viivitamata üle politseile: indikaatorvahendi positiivse näidu korral või kui isik keeldub alkoholijoobe kontrollimisest indikaatorvahendiga. (1¹) Abipolitseinik võib korrakaitseseaduse §-s 41 sätestatud meedet kohaldades indikaatorvahendi abil tuvastada narkootilise, psühhotroopse või muu joovastava aine esinemist isiku organismis. Abipolitseinik peab andma isiku viivitamata üle politseile: indikaatorvahendi positiivse näidu korral või kui isik keeldub narkootilise, psühhotroopse või muu joovastava aine organismis esinemise tuvastamisest indikaatorvahendiga. (1²) Abipolitseinik võib korrakaitseseaduse §-s 44 sätestatud meedet kohaldades keelata isiku viibimise teatud kohas, kohustada teda sellest kohast lahkuma või kohale teatud kaugusele lähenemisest hoiduma. Kui abipolitseinik tegutseb käesoleva seaduse § 16 lõike 2 alusel, võib ta viibimiskeeldu kohaldada kuni üks tund. (2) Abipolitseinik võib korrakaitseseaduse § 45 lõigetes 1 ja 5 sätestatud meetmeid kohaldada, kui ta kannab ohutusvesti kirjaga ”ABIPOLITSEINIK”. Kui abipolitseinik tegutseb käesoleva seaduse § 16 lõike 1 alusel, võib ta korrakaitseseaduse § 45 lõike 5 kohaselt sõiduki sundpeatada politseiametniku korraldusel. Meetme kohaldamisel võib kasutada sõiduki sundpeatamise vahendit või muud abipolitseinikule lubatud erivahendit. (3) Abipolitseinik võib korrakaitseseaduse §-s 46 sätestatud meedet kohaldada, kui: see on vältimatu vahetult eelseisva kuriteo toimepanemise ärahoidmiseks; see on vältimatu isiku elu või kehalist puutumatust ähvardava vahetu ohu tõrjumiseks; isik on avalikus kohas pannud toime korrarikkumise ja tema isikut ei ole tuvastatud või korrarikkumise kõrvaldamiseks on kohaldatud vahetut sundi ning on küllaldane alus eeldada, et vahetu sunni kohaldamise lõpetamisel jätkab isik korrarikkumise",true,,,
estleg:ABIPOL_Par_16_1_Lg_1,estleg:ABIPOL_Map_2026,§ 16¹.,1,(1) Abipolitseinik võib korrakaitseseaduse §-s 38 sätestatud meedet kohaldades kontrollida üksnes indikaatorvahendiga alkoholi sisaldumist isiku väljahingatavas õhus. Abipolitseinik peab andma isiku viivitamata üle politseile: indikaatorvahendi positiivse näidu korral või kui isik keeldub alkoholijoobe kontrollimisest indikaatorvahendiga.,true,,,
estleg:ABIPOL_Par_16_1_Lg_10,estleg:ABIPOL_Map_2026,§ 16¹.,10,"(10) Abipolitseinik võib korrakaitseseaduse §-s 52 sätestatud meedet kohaldades võtta hoiule turvakontrolli või isiku läbivaatuse käigus tuvastatud vallasasja, millega isik võib ohustada ennast või teist isikut või mille valdamine on isikul seadusega keelatud. Abipolitseinik peab hoiulevõetud asja andma viivitamata üle politseile.",true,,,
estleg:ABIPOL_Par_16_1_Lg_11,estleg:ABIPOL_Map_2026,§ 16¹.,11,(11) Abipolitseinik võib käesoleva seaduse § 16 lõigetes 1 ja 2 sätestatud korrakaitseseaduse § 32 lõike 4 ja § 45 lõike 5 erimeedet ja käesoleva seaduse § 16 lõikes 2 sätestatud korrakaitseseaduse § 44 erimeedet rakendada vaid eriolukorra või erakorralise seisukorra ajal.,true,,,
estleg:ABIPOL_Par_16_1_Lg_1_1,estleg:ABIPOL_Map_2026,§ 16¹.,1¹,"(1¹) Abipolitseinik võib korrakaitseseaduse §-s 41 sätestatud meedet kohaldades indikaatorvahendi abil tuvastada narkootilise, psühhotroopse või muu joovastava aine esinemist isiku organismis. Abipolitseinik peab andma isiku viivitamata üle politseile: indikaatorvahendi positiivse näidu korral või kui isik keeldub narkootilise, psühhotroopse või muu joovastava aine organismis esinemise tuvastamisest indikaatorvahendiga.",true,,,
estleg:ABIPOL_Par_16_1_Lg_1_2,estleg:ABIPOL_Map_2026,§ 16¹.,1²,"(1²) Abipolitseinik võib korrakaitseseaduse §-s 44 sätestatud meedet kohaldades keelata isiku viibimise teatud kohas, kohustada teda sellest kohast lahkuma või kohale teatud kaugusele lähenemisest hoiduma. Kui abipolitseinik tegutseb käesoleva seaduse § 16 lõike 2 alusel, võib ta viibimiskeeldu kohaldada kuni üks tund.",true,,,
estleg:ABIPOL_Par_16_1_Lg_2,estleg:ABIPOL_Map_2026,§ 16¹.,2,"(2) Abipolitseinik võib korrakaitseseaduse § 45 lõigetes 1 ja 5 sätestatud meetmeid kohaldada, kui ta kannab ohutusvesti kirjaga ”ABIPOLITSEINIK”. Kui abipolitseinik tegutseb käesoleva seaduse § 16 lõike 1 alusel, võib ta korrakaitseseaduse § 45 lõike 5 kohaselt sõiduki sundpeatada politseiametniku korraldusel. Meetme kohaldamisel võib kasutada sõiduki sundpeatamise vahendit või muud abipolitseinikule lubatud erivahendit.",true,,,
estleg:ABIPOL_Par_16_1_Lg_3,estleg:ABIPOL_Map_2026,§ 16¹.,3,"(3) Abipolitseinik võib korrakaitseseaduse §-s 46 sätestatud meedet kohaldada, kui: see on vältimatu vahetult eelseisva kuriteo toimepanemise ärahoidmiseks; see on vältimatu isiku elu või kehalist puutumatust ähvardava vahetu ohu tõrjumiseks; isik on avalikus kohas pannud toime korrarikkumise ja tema isikut ei ole tuvastatud või korrarikkumise kõrvaldamiseks on kohaldatud vahetut sundi ning on küllaldane alus eeldada, et vahetu sunni kohaldamise lõpetamisel jätkab isik korrarikkumise toimepanemist.",true,,,
estleg:ABIPOL_Par_16_1_Lg_4,estleg:ABIPOL_Map_2026,§ 16¹.,4,"(4) Kui abipolitseiniku poolt käesoleva paragrahvi lõikes 3 nimetatud alusel kinnipeetud isik viibib seisundis, mille tõttu ta ei ole võimeline kinnipidamisest oma lähedasele teatama, teavitab abipolitseinik sellest viivitamata politseid, kes teavitab võimaluse korral viivitamata kinnipeetud isiku lähedast. Kui kinnipeetud isik on alaealine või muu piiratud teovõimega isik, teavitab abipolitseinik sellest viivitamata politseid, kes teatab isiku kinnipidamisest esimesel võimalusel tema seaduslikule esindajale.",true,,,
estleg:ABIPOL_Par_16_1_Lg_5,estleg:ABIPOL_Map_2026,§ 16¹.,5,(5) Abipolitseinik peab käesoleva paragrahvi lõikes 3 nimetatud alusel kinnipeetud isiku andma viivitamata üle politseile.,true,,,
estleg:ABIPOL_Par_16_1_Lg_6,estleg:ABIPOL_Map_2026,§ 16¹.,6,"(6) Abipolitseinik, kes politsei ülesandel teostab iseseisvalt järelevalvet avalikus kohas käitumise nõuete üle või täidab ülesannet avalikku korda ähvardava vahetu kõrgendatud ohu tõrjumiseks, võib korrakaitseseaduse §-s 47 sätestatud meedet kohaldades kontrollida isikut või tema riietust üksnes vaatlemise ja kompimise teel või tehnilise vahendi abil, kui: see on vajalik vahetu kõrgendatud ohu tõrjumiseks või isikult võib seaduse alusel võtta vabaduse.",true,,,
estleg:ABIPOL_Par_16_1_Lg_7,estleg:ABIPOL_Map_2026,§ 16¹.,7,"(7) Abipolitseinik võib korrakaitseseaduse §-s 48 sätestatud meedet kohaldades läbi vaadata isiku, sealhulgas isiku keha, riided, riietes oleva või kehal kantava asja, kui: on alust arvata, et isik kannab endaga kaasas asja või ainet, mille võib võtta seaduse alusel hoiule, hõivata või konfiskeerida, või see on vajalik kõrgendatud ohu väljaselgitamiseks, kui isik viibib avaliku võimu toimimiseks tähtsas ehitises või selle vahetus läheduses.",true,,,
estleg:ABIPOL_Par_16_1_Lg_8,estleg:ABIPOL_Map_2026,§ 16¹.,8,"(8) Korrakaitseseaduse §-s 48 sätestatud meedet võib kohaldada abipolitseinik, kes on isikuga samast soost. Kui see on vajalik kõrgendatud vahetu ohu tõrjumiseks, võib isiku läbi vaadata abipolitseinik, kes ei ole isikuga samast soost.",true,,,
estleg:ABIPOL_Par_16_1_Lg_9,estleg:ABIPOL_Map_2026,§ 16¹.,9,"(9) Abipolitseinik, kes politsei ülesandel teostab iseseisvalt järelevalvet avalikus kohas käitumise nõuete üle või täidab ülesannet avalikku korda ähvardava vahetu kõrgendatud ohu tõrjumiseks, võib korrakaitseseaduse §-s 49 sätestatud meedet kohaldades kontrollida valdaja nõusolekuta meeleliselt või tehnilise vahendi abil vallasasja, kui seda kannab kaasas isik, kelle suhtes võib seaduse alusel teostada turvakontrolli või kelle võib seaduse alusel läbi vaadata.",true,,,
estleg:ABIPOL_Par_16_Lg_1,estleg:ABIPOL_Map_2026,§ 16.,1,"(1) Abipolitseinik võib rakendada korrakaitseseaduse §-des 28 ja 30, § 32 lõigetes 1–4, §-des 34, 38, 41, 42 ja 44, § 45 lõigetes 1 ja 5 ning §-des 46–52 sätestatud meetmeid, kui ta on kaasatud meedet kohaldama politseiametniku korraldusel.",true,,,
estleg:ABIPOL_Par_16_Lg_2,estleg:ABIPOL_Map_2026,§ 16.,2,"(2) Abipolitseinik võib rakendada korrakaitseseaduse §-des 28 ja 30, § 32 lõigetes 1–4, §-des 38 ja 44, § 45 lõikes 1 ning §-des 46–49 ja 52 sätestatud meetmeid, kui ta teeb politsei ülesandel iseseisvalt järelevalvet avalikus kohas käitumise nõuete üle või täidab ülesannet avalikku korda ähvardava vahetu kõrgendatud ohu tõrjumiseks.",true,,,
estleg:ABIPOL_Par_16_Lg_3,estleg:ABIPOL_Map_2026,§ 16.,3,"(3) Kui abipolitseinik osaleb käesoleva seaduse § 3 lõike 3 alusel politsei tegevuses, ei ole tal õigust rakendada meetmeid ega kohaldada vahetut sundi.",true,,,
estleg:ABIPOL_Par_17,estleg:ABIPOL_Map_2026,§ 17.,,[Käesolevast tekstist välja jäetud],true,,,
estleg:ABIPOL_Par_1_Lg_1,estleg:ABIPOL_Map_2026,§ 1.,1,"(1) Käesolev seadus sätestab abipolitseiniku õigused, kohustused ja tegevusala eesmärgiga kaasata isikuid politsei tegevusse avaliku korra kaitseks ja turvalise ühiskonna tagamiseks.",true,,,
estleg:ABIPOL_Par_1_Lg_2,estleg:ABIPOL_Map_2026,§ 1.,2,"(2) Käesolevas seaduses ettenähtud haldusmenetlusele kohaldatakse haldusmenetluse seaduse sätteid, arvestades käesoleva seaduse erisusi.",true,,,
estleg:ABIPOL_Par_1_Lg_3,estleg:ABIPOL_Map_2026,§ 1.,3,"(3) Riikliku järelevalve meetme rakendamisel muu seaduse alusel lähtub abipolitseinik muus seaduses sätestatust, arvestades käesoleva seaduse erisusi.",true,,,
estleg:ABIPOL_Par_2,estleg:ABIPOL_Map_2026,§ 2.,,"(1) Abipolitseinik on isik, kes vabatahtlikult oma vabast ajast osaleb politsei tegevuses seaduses sätestatud alustel ja korras. Abipolitseinik ei kuulu politseiametnike koosseisu. (2) Politsei tegevuses osalemine käesoleva seaduse tähenduses on koos politseiametnikuga abipolitseiniku poolt abipolitseiniku pädevusse kuuluva ülesande täitmine või politsei ülesandel iseseisvalt käesoleva seaduse § 3 lõikes 2 sätestatud ülesande täitmine. (3) Politsei tegevuses osalemise ajal on abipolitseinik riigivõimu esindaja, kelle seaduslikud korraldused on täitmiseks kohustuslikud. (3¹) Politsei tegevuses osalemise ajal, sealhulgas siis, kui abipolitseinik rakendab meetmeid või kohaldab vahetut sundi, tegutseb ta Politsei- ja Piirivalveameti nimel. (4) Abipolitseinik peab järgima ametnike eetikakoodeksis sätestatud põhimõtteid.",true,,,
estleg:ABIPOL_Par_26,estleg:ABIPOL_Map_2026,§ 26.,,Kehtetud -,true,,,
estleg:ABIPOL_Par_27,estleg:ABIPOL_Map_2026,§ 27.,,Kehtetu -,true,,,
estleg:ABIPOL_Par_28,estleg:ABIPOL_Map_2026,§ 28.,,"(1) Abipolitseinik võib füüsilist jõudu, erivahendit ja relva kasutada korrakaitseseaduses sätestatud alusel ja korras, arvestades käesoleva seaduse erisusi. (2) Abipolitseinikul on õigus kohaldada vahetut sundi politseiametniku korraldusel, kui see on vältimatult vajalik politseiametniku poolt riikliku järelevalve meetme kohaldamise eesmärgi saavutamiseks.",true,,,
estleg:ABIPOL_Par_28_Lg_1,estleg:ABIPOL_Map_2026,§ 28.,1,"(1) Abipolitseinik võib füüsilist jõudu, erivahendit ja relva kasutada korrakaitseseaduses sätestatud alusel ja korras, arvestades käesoleva seaduse erisusi.",true,,,
estleg:ABIPOL_Par_28_Lg_2,estleg:ABIPOL_Map_2026,§ 28.,2,"(2) Abipolitseinikul on õigus kohaldada vahetut sundi politseiametniku korraldusel, kui see on vältimatult vajalik politseiametniku poolt riikliku järelevalve meetme kohaldamise eesmärgi saavutamiseks.",true,,,
estleg:ABIPOL_Par_29,estleg:ABIPOL_Map_2026,§ 29.,,Kehtetu -,true,,,
estleg:ABIPOL_Par_2_Lg_1,estleg:ABIPOL_Map_2026,§ 2.,1,"(1) Abipolitseinik on isik, kes vabatahtlikult oma vabast ajast osaleb politsei tegevuses seaduses sätestatud alustel ja korras. Abipolitseinik ei kuulu politseiametnike koosseisu.",true,,,
estleg:ABIPOL_Par_2_Lg_2,estleg:ABIPOL_Map_2026,§ 2.,2,(2) Politsei tegevuses osalemine käesoleva seaduse tähenduses on koos politseiametnikuga abipolitseiniku poolt abipolitseiniku pädevusse kuuluva ülesande täitmine või politsei ülesandel iseseisvalt käesoleva seaduse § 3 lõikes 2 sätestatud ülesande täitmine.,true,,,
estleg:ABIPOL_Par_2_Lg_3,estleg:ABIPOL_Map_2026,§ 2.,3,"(3) Politsei tegevuses osalemise ajal on abipolitseinik riigivõimu esindaja, kelle seaduslikud korraldused on täitmiseks kohustuslikud.",true,,,
estleg:ABIPOL_Par_2_Lg_3_1,estleg:ABIPOL_Map_2026,§ 2.,3¹,"(3¹) Politsei tegevuses osalemise ajal, sealhulgas siis, kui abipolitseinik rakendab meetmeid või kohaldab vahetut sundi, tegutseb ta Politsei- ja Piirivalveameti nimel.",true,,,
estleg:ABIPOL_Par_2_Lg_4,estleg:ABIPOL_Map_2026,§ 2.,4,(4) Abipolitseinik peab järgima ametnike eetikakoodeksis sätestatud põhimõtteid.,true,,,
estleg:ABIPOL_Par_3,estleg:ABIPOL_Map_2026,§ 3.,,"(1) Abipolitseiniku pädevuses on politsei abistamine avalikku korda ähvardava ohu ennetamisel, väljaselgitamisel ja tõrjumisel ning avaliku korra rikkumise kõrvaldamisel. (2) Abipolitseinik võib politsei ülesandel teostada iseseisvalt liiklusjärelevalvet ja järelevalvet avalikus kohas käitumise nõuete üle ning politsei ülesandel täita iseseisvalt ülesannet avalikku korda ähvardava vahetu kõrgendatud ohu tõrjumiseks. (3) Abipolitseiniku pädevus võib isiku taotlusel piirduda ainult politsei abistamisega süüteoennetuses korrakaitseseaduse §-s 18 sätestatud alustel.",true,,,
estleg:ABIPOL_Par_30,estleg:ABIPOL_Map_2026,§ 30.,,Kehtetu -,true,,,
estleg:ABIPOL_Par_31,estleg:ABIPOL_Map_2026,§ 31.,,Kehtetu -,true,,,
estleg:ABIPOL_Par_32,estleg:ABIPOL_Map_2026,§ 32.,,"(1) Abipolitseinikule lubatud erivahendid on Politsei- ja Piirivalveameti väljastatud käerauad, sidumisvahend, tehniline tõke ja sõiduki sundpeatamise vahend. (2) Abipolitseinikule lubatud relvad on Politsei- ja Piirivalveameti poolt väljastatud gaasirelv, külmrelv, elektrišokirelv ja tulirelv. (3) Abipolitseinikule on lubatud järgmised gaasirelva, külmrelva ja tulirelva alaliigid: gaasirelv – gaasipihusti; külmrelv – kumminui, teleskoopnui; tulirelv – püstol, revolver. (4) Käesoleva paragrahvi lõigetes 1–3 nimetatud erivahend või relv väljastatakse abipolitseinikule üksnes talle pandud ülesande täitmise ajaks. Politsei- ja Piirivalveameti peadirektor või tema volitatud ametnik võib erandkorras lubada abipolitseinikule väljastatud erivahendit või relva hoida alaliselt abipolitseiniku elukohas. Luba vormistatakse Politsei- ja Piirivalveameti peadirektori käskkirjaga või tema volitatud ametniku kirjaliku otsusega. (4¹) Politsei- ja Piirivalveameti peadirektori või tema volitatud ametniku eelneval loal ja vastava tulirelva alaliigi erikoolituse läbimisel on abipolitseinikule lubatud lisaks käesoleva paragrahvi lõike 3 punktis 3 sätestatud tulirelva alaliikidele muud politsei tulirelva alaliigid, kui esineb vahetu kõrgendatud ohu tõrjumise erakorraline vajadus ja abistatav politseiametnik on vahetult andnud vastava tulirelva kasutamiseks korralduse. (5) Abipolitseinikule väljastatud erivahendi ja relva väljastamise, hoidmise, tagastamise ning relva kandmise korra kehtestab määrusega.",true,,,
estleg:ABIPOL_Par_32_Lg_1,estleg:ABIPOL_Map_2026,§ 32.,1,"(1) Abipolitseinikule lubatud erivahendid on Politsei- ja Piirivalveameti väljastatud käerauad, sidumisvahend, tehniline tõke ja sõiduki sundpeatamise vahend.",true,,,
